1200,83.05,2,"Ottobrunn, München (Kreis)",Ottobrunn,48.0643823,11.6675042
520,34,1,"Aschheim, München (Kreis)",Aschheim,48.1713481,11.7160347
985,79,2.5,"Unterbiberger Str. 13a, Neubiberg, München (Kreis)",Neubiberg,48.0769935,11.6615136
640,41,1,"Am Hang 0, Ismaning, München (Kreis)",Ismaning,48.2242434,11.6715263
950,65,2,"Ottobrunnerstrasse 33, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
3630,149,3,"Bogenhausen, München",Bogenhausen,48.1547823,11.6334838
3500,135,3,"Leopoldstr. 168, Schwabing, München",Schwabing,48.1599218,11.5761796
1800,53,1.5,"Viktor-Scheffel-Straße 11, Schwabing-West, München",Schwabing-West,48.164417,11.5703639
630,33,1,"Destouchesstraße 16, Schwabing-West, München",Schwabing-West,48.164417,11.5703639
2200,115,3,"Gumppenbergstraße 1, Bogenhausen, München",Bogenhausen,48.1547823,11.6334838
780,30,1,"Helene-Mayer-Ring 4, Milbertshofen, München",Milbertshofen,48.1823848,11.5750432
620,31,1,"Perlacher Str. 100, Obergiesing, München",Obergiesing,48.1111557,11.5889093
1690,80.32,3,"Max-Bill-Str. 44, Schwabing, München",Schwabing,48.1599218,11.5761796
2950,70,2,"Schwabing-West, München",Schwabing-West,48.164417,11.5703639
1590,54,2,"Dachau, Dachau (Kreis)",Dachau,48.2513758,11.5422624
