950,65,2,"Ottobrunnerstrasse 33, Unterhaching, München (Kreis)"
3630,149,3,"Bogenhausen, München"
3500,135,3,"Leopoldstr. 168, Schwabing, München"
1800,53,1.5,"Viktor-Scheffel-Straße 11, Schwabing-West, München"
630,33,1,"Destouchesstraße 16, Schwabing-West, München"
2200,115,3,"Gumppenbergstraße 1, Bogenhausen, München"
780,30,1,"Helene-Mayer-Ring 4, Milbertshofen, München"
620,31,1,"Perlacher Str. 100, Obergiesing, München"
1690,80.32,3,"Max-Bill-Str. 44, Schwabing, München"
2950,70,2,"Schwabing-West, München"
1590,54,2,"Dachau, Dachau (Kreis)"
